ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,1,2B,homogeneo,PNM,55.761,2.005,12.209,17.387,24.160,31969,1414,85.44,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,1,2B,homogeneo,PNM,61.659,1.951,11.599,21.029,27.081,31187,1731,84.79,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,1,2B,homogeneo,PNM,55.861,1.972,10.720,17.323,25.851,28567,1419,86.32,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,1,2B,homogeneo,PNM,64.675,2.010,12.563,19.782,30.319,33131,1584,85.05,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,1,2B,homogeneo,DLB,62.672,2.006,13.232,18.458,28.976,34254,1510,86.21,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,1,2B,homogeneo,PNM,65.576,2.027,16.045,17.915,29.589,39450,1459,85.81,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,1,2B,homogeneo,PNM,71.079,1.924,15.985,20.681,32.488,39650,1640,83.80,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,1,2B,homogeneo,DLB,61.278,1.958,10.391,17.734,31.195,27988,1440,86.86,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,1,2B,homogeneo,DLB,65.835,2.095,16.701,17.955,29.080,40931,1442,84.72,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,1,2B,homogeneo,PNM,64.701,2.044,12.422,21.394,28.844,32919,1768,85.04,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,1,2B,homogeneo,PNM,80.983,2.012,15.881,31.860,31.229,37231,1408,64.03,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,1,2B,homogeneo,PNM,74.894,2.019,17.012,24.975,30.888,38630,1475,65.80,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,1,2B,homogeneo,DLB,75.887,1.975,12.690,31.173,30.050,31238,1461,65.94,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,1,2B,homogeneo,DLB,73.207,1.973,12.450,31.037,27.748,30672,1421,65.41,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
