ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,3,70B,heterogeneo,DLB,1785.741,860.576,250.902,639.866,34.395,32237,3296,5.13,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,3,70B,heterogeneo,PNM,2095.664,866.493,251.507,929.549,48.112,32095,4753,5.08,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,3,70B,heterogeneo,DLB,1619.523,846.203,212.183,532.042,29.098,26940,2750,5.15,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,3,70B,heterogeneo,DLB,1752.093,871.445,249.079,599.621,31.949,31931,3077,5.10,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,3,70B,heterogeneo,PNM,1752.022,866.958,256.191,596.588,32.288,32548,3063,5.13,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,3,70B,heterogeneo,DLB,1791.257,883.974,300.430,575.016,31.840,38742,2956,5.13,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,3,70B,heterogeneo,PNM,1938.236,882.107,298.074,720.219,37.832,38233,3698,5.11,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,3,70B,heterogeneo,DLB,1706.856,845.835,217.041,611.903,32.075,27871,3162,5.15,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,3,70B,heterogeneo,DLB,2086.337,902.436,331.417,811.025,41.457,42670,4149,5.10,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,3,70B,heterogeneo,DLB,1739.874,867.357,228.991,610.496,33.030,29451,3132,5.13,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,3,70B,heterogeneo,DLB,1750.602,881.862,279.137,559.364,30.240,35662,2857,5.12,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,3,70B,heterogeneo,PNM,1990.031,890.933,298.232,760.595,40.271,38231,3906,5.11,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,3,70B,heterogeneo,DLB,1855.738,866.941,242.829,708.973,36.992,31289,3652,5.12,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,3,70B,heterogeneo,DLB,1962.028,871.087,257.285,792.388,41.266,33213,4056,5.08,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,3,70B,heterogeneo,DLB,1959.339,870.007,253.537,794.842,40.958,32544,4096,5.13,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
