ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,3,2B,homogeneo,DLB,59.282,1.989,12.602,19.099,25.592,32946,1541,84.87,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,3,2B,homogeneo,PNM,55.833,1.947,11.302,19.368,23.218,30390,1584,84.43,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,3,2B,homogeneo,PNM,56.833,1.963,10.658,17.380,26.833,28337,1408,85.97,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,3,2B,homogeneo,PNM,58.552,1.969,12.850,19.425,24.307,33812,1573,83.94,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,3,2B,homogeneo,PNM,64.760,1.983,13.433,19.479,29.863,34192,1540,84.73,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,3,2B,homogeneo,DLB,60.115,1.974,15.697,16.190,26.254,38283,1293,84.26,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,3,2B,homogeneo,PNM,67.508,1.929,15.829,19.674,30.079,38979,1540,83.63,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,3,2B,homogeneo,PNM,54.989,1.950,10.626,18.189,24.224,28892,1448,83.28,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,3,2B,homogeneo,DLB,63.861,1.975,16.250,16.752,28.884,39464,1299,84.01,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,3,2B,homogeneo,DLB,55.743,1.943,11.498,17.166,25.133,30301,1375,84.94,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,3,2B,homogeneo,DLB,59.946,1.937,14.666,16.489,26.855,36442,1312,84.46,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,3,2B,homogeneo,A combination of DLB and PNM perspectives offers a comprehensive solution.,68.962,1.960,15.759,19.664,31.582,38724,1532,83.56,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,3,2B,homogeneo,DLB,63.502,1.939,12.013,19.428,30.121,31322,1535,84.38,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,3,2B,homogeneo,DLB,56.298,1.960,11.780,17.779,24.776,31078,1430,84.41,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,3,2B,homogeneo,DLB,60.344,1.953,11.720,17.500,29.172,30727,1426,86.31,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,3,2B,homogeneo,PNM,59.589,1.961,11.143,19.102,27.383,29670,1507,83.77,What antenna design considerations optimize ground station visibility during short service windows i
17,3,2B,homogeneo,PNM,63.837,1.945,15.573,18.064,28.254,38370,1443,84.21,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,3,2B,homogeneo,PNM,57.293,1.981,12.726,17.330,25.253,32469,1393,84.42,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,3,2B,homogeneo,DLB,57.447,1.979,12.704,16.690,26.068,32477,1334,84.93,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,3,2B,homogeneo,PNM,61.225,1.935,11.377,19.932,27.982,30118,1587,83.90,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,3,2B,homogeneo,PNM,63.466,1.957,11.630,19.197,30.683,30729,1503,83.90,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,3,2B,homogeneo,DLB,54.774,1.920,11.776,18.118,22.963,31254,1504,84.45,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,3,2B,homogeneo,DLB,54.095,1.963,11.047,16.907,24.181,29064,1355,84.42,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,3,2B,homogeneo,PNM,60.307,1.931,11.560,18.140,28.677,30205,1439,85.02,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,3,2B,homogeneo,PNM,60.931,1.937,11.732,19.070,28.192,31093,1519,85.11,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,3,2B,homogeneo,DLB,59.671,1.970,14.637,17.689,25.371,36822,1451,84.65,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
