ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
q001_debateAG,8B,heterogeneo,PNM,155.63,0.0,0.0,155.63,11462,562,3.61,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in Ka-band satellite links?
q002_debateAG,8B,heterogeneo,PNM,131.57,0.0,0.0,131.57,10041,808,6.14,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink frequency planning?
q003_debateAG,8B,heterogeneo,PNM,145.17,0.0,0.0,145.17,11703,502,3.46,What trade-offs exist between the filter's compact size and integration with phased array antennas for satellite coverage optimization?
q004_debateAG,8B,heterogeneo,PNM,130.29,0.0,0.0,130.29,10151,631,4.84,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver frontends?
q005_debateAG,8B,heterogeneo,PNM,186.62,0.0,0.0,186.62,14244,784,4.2,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload configurations?
q006_debateAG,8B,heterogeneo,PNM,196.15,0.0,0.0,196.15,17232,1006,5.13,How does the hierarchical classification framework impact satellite link budget margins when prioritizing QoS-sensitive traffic?
q007_debateAG,8B,heterogeneo,Unknown,302.66,0.0,0.0,302.66,20969,742,2.45,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latency-sensitive traffic classes?
q008_debateAG,8B,heterogeneo,PNM,209.83,0.0,0.0,209.83,12395,827,3.94,How does antenna design influence the accuracy of encrypted traffic classification systems in heterogeneous satellite networks?
q009_debateAG,8B,heterogeneo,PNM,868.21,0.0,0.0,868.21,19660,1167,1.34,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands from ML traffic classification?
q010_debateAG,8B,heterogeneo,PNM,121.71,0.0,0.0,121.71,9104,618,5.08,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic in multi-beam satellite systems?
q011_debateAG,8B,heterogeneo,PNM,135.75,0.0,0.0,135.75,10560,760,5.6,Does the proposed ML framework's feature extraction for encrypted flows require additional power or bandwidth margins in link budgets?
q012_debateAG,8B,heterogeneo,PNM,245.17,0.0,0.0,245.17,14537,1073,4.38,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classification for satellite QoS management?
q013_debateAG,8B,heterogeneo,PNM,189.33,0.0,0.0,189.33,12946,1055,5.57,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range and noise performance trade-offs in different satellite orbital configurations?
q014_debateAG,8B,heterogeneo,PNM,167.71,0.0,0.0,167.71,12366,1003,5.98,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and portability for CMOS-based ground terminals?
q015_debateAG,8B,heterogeneo,PNM,155.7,0.0,0.0,155.7,11254,523,3.36,How do distributed satellite constellations impact orbital configuration trade-offs between coverage and inter-satellite interference mitigation?
q016_debateAG,8B,heterogeneo,PNM,150.74,0.0,0.0,150.74,10804,728,4.83,What antenna design considerations optimize ground station visibility during short service windows in LEO constellations?
q017_debateAG,8B,heterogeneo,PNM,218.56,0.0,0.0,218.56,13399,1037,4.74,How are link budgets affected when prioritizing high-revenue services versus navigation safety margins in dynamic scheduling?
q018_debateAG,8B,heterogeneo,PNM,161.46,0.0,0.0,161.46,12135,692,4.29,What frequency planning challenges arise when coordinating multiple ground stations with overlapping satellite visibility windows?
q019_debateAG,8B,heterogeneo,PNM,157.29,0.0,0.0,157.29,11903,684,4.35,How do on-board storage constraints influence payload power allocation between immediate and time-tagged service prioritization?
q020_debateAG,8B,heterogeneo,PNM,141.6,0.0,0.0,141.6,9920,849,6.0,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-satellite ground station operations?
q021_debateAG,8B,heterogeneo,PNM,203.85,0.0,0.0,203.85,13328,503,2.47,How does transponder allocation balance network efficiency against thermal/power constraints during peak service demand periods?
q022_debateAG,8B,heterogeneo,PNM,163.97,0.0,0.0,163.97,10729,484,2.95,What interference mitigation techniques are viable for overlapping service transmissions across geographically dispersed ground stations?
q023_debateAG,8B,heterogeneo,PNM,110.61,0.0,0.0,110.61,9014,543,4.91,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in Ka-band satellite architectures?
q024_debateAG,8B,heterogeneo,PNM,781.45,0.0,0.0,781.45,12026,1058,1.35,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional methods in terms of deployment cost and scalability?
q025_debateAG,8B,heterogeneo,PNM,148.78,0.0,0.0,148.78,10383,614,4.13,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency for broadband satellite links?
q026_debateAG,8B,heterogeneo,PNM,176.05,0.0,0.0,176.05,12532,827,4.7,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to broadside beams?
q027_debateAG,8B,heterogeneo,PNM,253.16,0.0,0.0,253.16,15736,658,2.6,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 modes for multi-beam satellite systems?
q029_debateAG,8B,heterogeneo,PNM,133.48,0.0,0.0,133.48,10689,876,6.56,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna design?
q028_debateAG,8B,heterogeneo,PNM,131.12,0.0,0.0,131.12,10826,439,3.35,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional designs?
