ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
1,1,8B,single,llama3.1:8b,76.441,63.283,2.543,3.951,6.664,2129,166,42.01,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,1,8B,single,llama3.1:8b,13.010,0.138,2.178,3.581,7.113,1866,178,49.71,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,1,8B,single,llama3.1:8b,10.815,0.142,2.337,2.743,5.593,2007,141,51.41,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,1,8B,single,llama3.1:8b,8.662,0.133,2.693,1.869,3.965,2146,98,52.42,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,1,8B,single,llama3.1:8b,12.079,0.141,2.954,2.992,5.992,2485,150,50.13,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,1,8B,single,llama3.1:8b,12.098,0.139,3.302,2.639,6.018,2723,145,54.95,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,1,8B,single,llama3.1:8b,11.683,0.134,3.456,2.336,5.758,2729,136,58.23,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,1,8B,single,llama3.1:8b,10.946,0.145,2.150,2.568,6.083,1840,148,57.64,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,1,8B,single,llama3.1:8b,11.632,0.130,3.686,2.374,5.441,2992,130,54.75,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,1,8B,single,llama3.1:8b,10.919,0.142,2.486,2.312,5.979,1989,139,60.13,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,1,8B,single,llama3.1:8b,9.853,0.151,3.238,1.888,4.576,2662,108,57.20,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,1,8B,single,llama3.1:8b,10.030,0.143,3.435,1.749,4.704,2809,107,61.20,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,1,8B,single,llama3.1:8b,14.194,0.154,2.600,3.168,8.272,2057,190,59.98,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,1,8B,single,llama3.1:8b,10.433,0.150,2.411,2.145,5.727,2035,130,60.62,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,1,8B,single,llama3.1:8b,11.722,0.149,2.440,2.553,6.579,2065,153,59.93,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,1,8B,single,llama3.1:8b,10.137,0.140,2.296,2.169,5.533,1806,128,59.02,What antenna design considerations optimize ground station visibility during short service windows i
17,1,8B,single,llama3.1:8b,12.138,0.142,3.198,2.273,6.526,2627,145,63.80,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,1,8B,single,llama3.1:8b,11.312,0.159,2.510,2.294,6.350,2120,142,61.91,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,1,8B,single,llama3.1:8b,9.855,0.131,2.960,1.934,4.830,2319,113,58.42,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,1,8B,single,llama3.1:8b,9.736,0.136,2.228,1.940,5.432,1911,123,63.39,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,1,8B,single,llama3.1:8b,11.224,0.147,2.758,2.166,6.153,2295,137,63.25,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,1,8B,single,llama3.1:8b,11.009,0.153,2.868,2.150,5.837,2265,132,61.38,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,1,8B,single,llama3.1:8b,9.091,0.145,2.271,1.751,4.924,1958,111,63.41,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,1,8B,single,llama3.1:8b,11.514,0.150,2.323,2.291,6.750,1997,148,64.60,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,1,8B,single,llama3.1:8b,14.114,0.138,2.281,3.094,8.601,1845,195,63.03,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,1,8B,single,llama3.1:8b,10.606,0.136,2.761,2.119,5.590,2310,128,60.40,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,1,8B,single,llama3.1:8b,11.909,0.145,2.655,2.586,6.523,2232,151,58.39,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,1,8B,single,llama3.1:8b,11.977,0.148,3.818,2.121,5.890,2939,133,62.72,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,1,8B,single,llama3.1:8b,11.407,0.152,2.327,2.406,6.521,1990,149,61.93,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,1,8B,single,llama3.1:8b,10.797,0.180,2.472,2.210,5.936,2096,136,61.54,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,1,8B,single,llama3.1:8b,9.647,0.152,2.628,1.832,5.034,2111,114,62.23,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,1,8B,single,llama3.1:8b,11.610,0.139,2.332,2.407,6.731,1979,151,62.73,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,1,8B,single,llama3.1:8b,9.851,0.143,2.331,1.975,5.402,1984,123,62.27,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,1,8B,single,llama3.1:8b,10.340,0.144,2.890,1.903,5.403,2312,121,63.58,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,1,8B,single,llama3.1:8b,11.414,0.146,2.259,2.336,6.672,1922,149,63.79,How can frequency planning address interference between satellite uplinks and broadband power line c
36,1,8B,single,llama3.1:8b,11.655,0.150,3.099,2.202,6.204,2559,139,63.12,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,1,8B,single,llama3.1:8b,10.920,0.136,2.768,2.300,5.716,2196,133,57.83,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,1,8B,single,llama3.1:8b,10.912,0.149,2.088,2.177,6.499,1779,143,65.68,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,1,8B,single,llama3.1:8b,12.938,0.155,3.456,2.401,6.926,2809,151,62.90,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,1,8B,single,llama3.1:8b,11.786,0.157,2.611,2.441,6.576,2037,150,61.45,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,1,8B,single,llama3.1:8b,12.048,0.130,2.478,2.472,6.968,2098,155,62.70,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,1,8B,single,llama3.1:8b,11.664,0.149,2.193,2.615,6.707,1875,153,58.51,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,1,8B,single,llama3.1:8b,12.624,0.148,2.953,2.774,6.749,2329,153,55.15,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,1,8B,single,llama3.1:8b,10.500,0.138,2.542,2.176,5.644,2144,129,59.29,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,1,8B,single,llama3.1:8b,10.947,0.144,2.121,2.273,6.409,1826,143,62.91,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,1,8B,single,llama3.1:8b,12.008,0.147,2.333,2.492,7.036,1905,155,62.19,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,1,8B,single,llama3.1:8b,13.373,0.154,2.595,3.513,7.112,2182,172,48.97,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,1,8B,single,llama3.1:8b,8.756,0.136,1.874,1.780,4.966,1620,112,62.93,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,1,8B,single,llama3.1:8b,10.391,0.148,2.295,2.137,5.812,1897,130,60.85,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,1,8B,single,llama3.1:8b,10.238,0.146,2.016,2.080,5.995,1731,131,62.98,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
