ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
1,1,2B,single,gemma2:2b,10.979,0.159,0.058,2.313,8.449,2272,118,51.01,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,1,2B,single,gemma2:2b,10.263,0.149,0.919,1.852,7.343,2106,105,56.69,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,1,2B,single,gemma2:2b,8.899,0.134,0.845,1.528,6.392,2171,91,59.54,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,1,2B,single,gemma2:2b,12.099,0.141,0.906,2.159,8.892,2348,126,58.36,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,1,2B,single,gemma2:2b,13.454,0.159,1.211,2.329,9.755,2712,138,59.25,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,1,2B,single,gemma2:2b,10.060,0.138,1.204,1.696,7.022,2956,100,58.95,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,1,2B,single,gemma2:2b,14.352,0.175,1.196,2.562,10.419,2963,145,56.60,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,1,2B,single,gemma2:2b,4.846,0.148,0.887,0.696,3.115,1971,43,61.74,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,1,2B,single,gemma2:2b,13.334,0.156,1.326,2.403,9.450,3212,135,56.18,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,1,2B,single,gemma2:2b,11.542,0.157,0.830,2.074,8.480,2155,122,58.82,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,1,2B,single,gemma2:2b,35.361,21.274,1.387,3.389,9.311,2864,116,34.23,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,1,2B,single,gemma2:2b,14.090,0.149,1.377,3.477,9.087,3021,118,33.94,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,1,2B,single,gemma2:2b,0.000,0.000,0.000,0.000,0.000,0,0,0.00,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,1,2B,single,gemma2:2b,19.584,0.143,0.954,5.279,13.207,2214,175,33.15,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,1,2B,single,gemma2:2b,16.633,0.133,1.167,4.511,10.822,2223,145,32.14,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,1,2B,single,gemma2:2b,16.226,0.165,0.786,4.390,10.885,1944,145,33.03,What antenna design considerations optimize ground station visibility during short service windows i
17,1,2B,single,gemma2:2b,23.706,0.149,1.237,10.771,11.549,2844,150,13.93,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,1,2B,single,gemma2:2b,15.444,0.234,1.224,3.429,10.558,2284,122,35.57,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,1,2B,single,gemma2:2b,13.803,0.142,1.194,3.724,8.743,2530,116,31.15,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,1,2B,single,gemma2:2b,12.282,0.145,0.915,3.161,8.061,2030,107,33.85,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,1,2B,single,gemma2:2b,16.948,0.153,1.081,5.697,10.017,2505,134,23.52,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,1,2B,single,gemma2:2b,13.385,0.165,1.313,3.408,8.500,2461,114,33.46,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,1,2B,single,gemma2:2b,13.461,0.148,0.886,3.776,8.651,2134,116,30.72,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,1,2B,single,gemma2:2b,19.802,0.149,1.026,5.490,13.137,2121,175,31.87,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,1,2B,single,gemma2:2b,12.700,0.142,0.901,3.268,8.388,2027,112,34.27,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,1,2B,single,gemma2:2b,11.417,0.138,1.283,2.813,7.183,2498,95,33.78,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,1,2B,single,gemma2:2b,11.953,0.149,1.199,3.062,7.543,2392,101,32.98,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,1,2B,single,gemma2:2b,8.266,0.154,1.382,2.019,4.710,3104,62,30.70,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,1,2B,single,gemma2:2b,14.921,0.144,0.964,4.160,9.654,2091,127,30.53,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,1,2B,single,gemma2:2b,8.347,0.160,0.982,2.162,5.043,2246,70,32.37,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,1,2B,single,gemma2:2b,28.176,16.594,0.851,2.159,8.572,2218,121,56.05,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
