ID,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,TPS,Topic
1,70B,single,llama3.3:70b,71.895,36.516,10.649,20.487,1346,104,5.08,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,70B,single,llama3.3:70b,32.289,0.146,8.956,19.178,1065,99,5.16,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,70B,single,llama3.3:70b,33.583,0.145,9.728,19.558,1334,101,5.16,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,70B,single,llama3.3:70b,31.899,0.156,9.469,18.495,1213,95,5.14,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,70B,single,llama3.3:70b,32.988,0.155,12.716,16.464,1688,86,5.22,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,70B,single,llama3.3:70b,46.756,0.132,22.774,19.754,2970,100,5.06,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,70B,single,llama3.3:70b,43.573,0.158,20.577,19.005,2677,96,5.05,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,70B,single,llama3.3:70b,31.686,0.153,9.111,18.632,1083,95,5.10,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,70B,single,llama3.3:70b,49.517,0.144,22.410,22.449,2940,110,4.90,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,70B,single,llama3.3:70b,37.549,0.132,8.991,23.572,1093,120,5.09,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,70B,single,llama3.3:70b,28.867,0.145,9.336,16.025,1239,82,5.12,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,70B,single,llama3.3:70b,33.397,0.148,16.102,14.200,2043,71,5.00,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,70B,single,llama3.3:70b,37.460,0.134,9.699,22.720,1315,118,5.19,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,70B,single,llama3.3:70b,39.469,0.136,10.571,23.442,1400,123,5.25,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,70B,single,llama3.3:70b,32.364,0.136,9.796,18.424,1311,96,5.21,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,70B,single,llama3.3:70b,33.075,0.136,9.123,19.629,1167,102,5.20,What antenna design considerations optimize ground station visibility during short service windows i
17,70B,single,llama3.3:70b,33.648,0.146,8.677,20.139,1025,106,5.26,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,70B,single,llama3.3:70b,34.305,0.158,10.973,19.005,1451,99,5.21,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,70B,single,llama3.3:70b,28.490,0.150,9.877,15.028,1318,79,5.26,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,70B,single,llama3.3:70b,28.725,0.179,9.128,15.907,1147,83,5.22,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,70B,single,llama3.3:70b,35.992,0.144,9.120,21.865,1165,114,5.21,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,70B,single,llama3.3:70b,26.559,0.145,8.911,14.226,1098,75,5.27,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,70B,single,llama3.3:70b,31.319,0.150,8.925,18.067,1100,95,5.26,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,70B,single,llama3.3:70b,30.495,0.155,9.169,17.078,1175,90,5.27,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,70B,single,llama3.3:70b,30.629,0.170,9.160,17.404,1179,91,5.23,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,70B,single,llama3.3:70b,32.753,0.150,9.628,18.760,1298,98,5.22,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,70B,single,llama3.3:70b,38.854,0.133,11.641,22.184,1519,112,5.05,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,70B,single,llama3.3:70b,36.328,0.163,10.506,20.815,1368,109,5.24,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,70B,single,llama3.3:70b,29.563,0.138,9.233,16.302,1199,86,5.28,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,70B,single,llama3.3:70b,44.044,0.136,17.701,21.455,2358,111,5.17,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,70B,single,llama3.3:70b,32.928,0.142,10.620,18.361,1358,94,5.12,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,70B,single,llama3.3:70b,30.653,0.144,13.100,14.283,1774,73,5.11,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,70B,single,llama3.3:70b,33.859,0.140,9.103,19.997,1093,103,5.15,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,70B,single,llama3.3:70b,31.646,0.135,8.968,18.251,1169,94,5.15,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,70B,single,llama3.3:70b,29.407,0.145,9.369,16.041,1275,83,5.17,How can frequency planning address interference between satellite uplinks and broadband power line c
36,70B,single,llama3.3:70b,35.080,0.161,10.313,19.839,1395,102,5.14,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,70B,single,llama3.3:70b,27.054,0.173,9.508,14.313,1260,73,5.10,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,70B,single,llama3.3:70b,28.976,0.155,8.587,16.906,1055,87,5.15,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,70B,single,llama3.3:70b,33.248,0.142,12.350,17.101,1522,89,5.20,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,70B,single,llama3.3:70b,33.209,0.151,10.935,18.453,1440,95,5.15,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,70B,single,llama3.3:70b,36.403,0.170,9.863,21.984,1324,113,5.14,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,70B,single,llama3.3:70b,31.578,0.142,9.995,17.804,1338,92,5.17,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,70B,single,llama3.3:70b,29.207,0.144,9.759,16.028,1302,83,5.18,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,70B,single,llama3.3:70b,30.140,0.133,9.693,16.688,1326,87,5.21,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,70B,single,llama3.3:70b,26.094,0.144,10.392,12.812,1346,67,5.23,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,70B,single,llama3.3:70b,32.630,0.130,9.179,19.057,1230,100,5.25,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,70B,single,llama3.3:70b,35.349,0.135,8.158,22.251,965,116,5.21,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,70B,single,llama3.3:70b,30.409,0.135,8.848,18.148,1133,92,5.07,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,70B,single,llama3.3:70b,37.555,0.152,10.795,21.831,1411,114,5.22,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,70B,single,llama3.3:70b,33.617,0.143,9.683,19.852,1321,102,5.14,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
