ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
1,1,8B,single,llama3.1:8b,18.164,6.547,2.521,3.251,5.845,2129,137,42.14,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,1,8B,single,llama3.1:8b,12.775,0.141,2.170,3.810,6.654,1866,160,41.99,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,1,8B,single,llama3.1:8b,11.553,0.163,2.460,3.296,5.633,2007,138,41.86,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,1,8B,single,llama3.1:8b,12.044,0.135,2.538,3.352,6.019,2146,145,43.25,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,1,8B,single,llama3.1:8b,12.455,0.156,2.971,3.411,5.917,2485,145,42.50,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,1,8B,single,llama3.1:8b,11.799,0.149,3.473,3.126,5.051,2723,127,40.63,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,1,8B,single,llama3.1:8b,13.902,0.138,3.322,3.983,6.459,2729,162,40.67,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,1,8B,single,llama3.1:8b,10.702,0.137,2.156,2.943,5.467,1840,132,44.85,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,1,8B,single,llama3.1:8b,12.020,0.141,3.816,2.978,5.086,2992,126,42.32,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,1,8B,single,llama3.1:8b,11.252,0.158,2.330,3.459,5.305,1989,138,39.90,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,1,8B,single,llama3.1:8b,38.647,8.278,6.002,20.094,4.272,2662,94,4.68,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,1,8B,single,llama3.1:8b,52.577,0.158,6.143,38.126,8.150,2809,176,4.62,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,1,8B,single,llama3.1:8b,49.952,0.146,4.319,36.932,8.555,2057,196,5.31,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,1,8B,single,llama3.1:8b,40.624,0.141,4.274,29.619,6.591,2035,158,5.33,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,1,8B,single,llama3.1:8b,42.304,0.147,4.383,30.675,7.099,2065,164,5.35,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,1,8B,single,llama3.1:8b,38.009,0.135,4.008,27.251,6.615,1806,154,5.65,What antenna design considerations optimize ground station visibility during short service windows i
17,1,8B,single,llama3.1:8b,41.344,0.145,9.062,26.852,5.285,2627,126,4.69,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,1,8B,single,llama3.1:8b,33.680,0.158,8.136,20.923,4.462,2120,108,5.16,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,1,8B,single,llama3.1:8b,43.179,0.150,5.101,31.279,6.649,2319,156,4.99,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,1,8B,single,llama3.1:8b,29.623,0.152,4.074,20.487,4.911,1911,113,5.52,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,1,8B,single,llama3.1:8b,35.621,0.158,5.106,24.881,5.476,2295,126,5.06,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,1,8B,single,llama3.1:8b,37.188,0.147,5.058,26.417,5.567,2265,132,5.00,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,1,8B,single,llama3.1:8b,31.801,0.174,4.205,22.247,5.174,1958,121,5.44,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,1,8B,single,llama3.1:8b,42.976,0.145,4.202,31.362,7.267,1997,169,5.39,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,1,8B,single,llama3.1:8b,36.074,0.137,4.008,26.039,5.889,1845,143,5.49,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,1,8B,single,llama3.1:8b,41.276,0.173,5.077,29.681,6.346,2310,147,4.95,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,1,8B,single,llama3.1:8b,41.982,0.147,5.028,30.216,6.590,2232,154,5.10,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,1,8B,single,llama3.1:8b,41.708,0.148,6.462,29.520,5.578,2939,132,4.47,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,1,8B,single,llama3.1:8b,34.219,0.153,4.232,24.534,5.301,1990,130,5.30,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,1,8B,single,llama3.1:8b,39.491,0.155,4.905,28.207,6.225,2096,148,5.25,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,1,8B,single,llama3.1:8b,18.642,6.031,2.578,3.739,6.294,2111,154,41.19,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,1,8B,single,llama3.1:8b,13.721,0.154,2.366,4.203,6.997,1979,173,41.16,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,1,8B,single,llama3.1:8b,11.491,0.139,2.352,3.470,5.530,1984,139,40.06,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
