ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
1,1,70B,single,llama3.3:70b,91.201,46.749,17.153,22.043,5.257,2129,107,4.85,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,1,70B,single,llama3.3:70b,40.212,0.154,15.276,20.018,4.763,1866,101,5.05,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,1,70B,single,llama3.3:70b,35.128,0.156,16.596,14.835,3.541,2007,75,5.06,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,1,70B,single,llama3.3:70b,33.131,0.157,17.219,12.754,3.001,2146,65,5.10,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,1,70B,single,llama3.3:70b,40.738,0.145,20.190,16.417,3.985,2485,83,5.06,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,1,70B,single,llama3.3:70b,40.256,0.158,21.999,14.660,3.439,2723,74,5.05,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,1,70B,single,llama3.3:70b,43.327,0.175,21.747,17.530,3.876,2729,88,5.02,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,1,70B,single,llama3.3:70b,32.179,0.167,15.030,13.918,3.065,1840,69,4.96,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,1,70B,single,llama3.3:70b,45.885,0.158,24.253,17.449,4.025,2992,87,4.99,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,1,70B,single,llama3.3:70b,41.430,0.148,16.468,20.537,4.277,1989,98,4.77,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,1,70B,single,llama3.3:70b,39.668,0.160,20.685,15.558,3.264,2662,79,5.08,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,1,70B,single,llama3.3:70b,38.369,0.147,21.201,14.027,2.993,2809,72,5.13,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,1,70B,single,llama3.3:70b,36.954,0.138,16.355,16.984,3.478,2057,87,5.12,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,1,70B,single,llama3.3:70b,38.163,0.139,16.016,18.455,3.553,2035,91,4.93,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,1,70B,single,llama3.3:70b,35.342,0.140,16.280,15.699,3.222,2065,80,5.10,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,1,70B,single,llama3.3:70b,31.609,0.140,13.571,14.832,3.066,1806,76,5.12,What antenna design considerations optimize ground station visibility during short service windows i
17,1,70B,single,llama3.3:70b,38.442,0.162,20.344,14.747,3.189,2627,75,5.09,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,1,70B,single,llama3.3:70b,32.823,0.146,16.668,13.164,2.845,2120,68,5.17,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,1,70B,single,llama3.3:70b,33.627,0.142,17.274,13.456,2.755,2319,69,5.13,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,1,70B,single,llama3.3:70b,32.225,0.141,14.725,14.349,3.010,1911,74,5.16,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,1,70B,single,llama3.3:70b,37.660,0.155,17.001,16.899,3.605,2295,87,5.15,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,1,70B,single,llama3.3:70b,35.909,0.143,17.121,15.513,3.131,2265,79,5.09,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,1,70B,single,llama3.3:70b,31.076,0.153,14.769,13.340,2.814,1958,69,5.17,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,1,70B,single,llama3.3:70b,34.182,0.146,15.780,15.050,3.206,1997,78,5.18,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,1,70B,single,llama3.3:70b,30.753,0.149,13.809,13.539,3.257,1845,71,5.24,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,1,70B,single,llama3.3:70b,34.696,0.158,17.366,14.210,2.963,2310,73,5.14,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,1,70B,single,llama3.3:70b,38.019,0.160,16.710,17.532,3.617,2232,89,5.08,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,1,70B,single,llama3.3:70b,40.085,0.138,22.531,14.402,3.014,2939,73,5.07,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,1,70B,single,llama3.3:70b,35.559,0.145,15.662,16.227,3.525,1990,83,5.11,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
