ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
1,3,2B,single,gemma2:2b,13.461,0.148,0.898,2.754,9.661,2272,142,51.56,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,3,2B,single,gemma2:2b,9.008,0.139,0.997,1.710,6.161,2106,93,54.38,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,3,2B,single,gemma2:2b,8.921,0.141,0.835,1.689,6.256,2171,94,55.65,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,3,2B,single,gemma2:2b,10.437,0.156,0.912,2.069,7.301,2348,111,53.66,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,3,2B,single,gemma2:2b,11.624,0.152,1.258,2.257,7.957,2712,120,53.17,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,3,2B,single,gemma2:2b,11.194,0.147,1.209,2.148,7.691,2956,115,53.55,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,3,2B,single,gemma2:2b,15.232,0.142,1.193,3.111,10.787,2963,160,51.43,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,3,2B,single,gemma2:2b,5.841,0.149,0.910,0.981,3.801,1971,56,57.08,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,3,2B,single,gemma2:2b,11.859,0.142,1.334,2.194,8.189,3212,121,55.15,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,3,2B,single,gemma2:2b,13.169,0.150,0.826,2.408,9.785,2155,143,59.39,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,3,2B,single,gemma2:2b,11.015,0.141,1.340,1.996,7.537,2864,110,55.10,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,3,2B,single,gemma2:2b,11.160,0.152,1.233,2.126,7.649,3021,113,53.15,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,3,2B,single,gemma2:2b,12.564,0.146,0.870,2.539,9.010,2238,135,53.18,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,3,2B,single,gemma2:2b,6.990,0.155,0.967,1.286,4.581,2214,70,54.42,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,3,2B,single,gemma2:2b,10.332,0.140,0.848,2.016,7.327,2223,109,54.07,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,3,2B,single,gemma2:2b,13.196,0.172,0.735,2.674,9.615,1944,143,53.47,What antenna design considerations optimize ground station visibility during short service windows i
17,3,2B,single,gemma2:2b,7.774,0.133,1.350,1.347,4.943,2844,74,54.92,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,3,2B,single,gemma2:2b,11.547,0.141,0.879,2.261,8.266,2284,123,54.39,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,3,2B,single,gemma2:2b,12.880,0.147,0.997,2.566,9.170,2530,138,53.79,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,3,2B,single,gemma2:2b,10.407,0.172,0.922,1.986,7.327,2030,110,55.39,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,3,2B,single,gemma2:2b,10.879,0.158,0.978,2.089,7.654,2505,115,55.05,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,3,2B,single,gemma2:2b,10.977,0.157,0.971,2.134,7.715,2461,116,54.35,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,3,2B,single,gemma2:2b,13.011,0.139,1.002,2.433,9.437,2134,140,57.53,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,3,2B,single,gemma2:2b,13.534,0.145,0.819,2.652,9.918,2121,148,55.80,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,3,2B,single,gemma2:2b,11.927,0.137,0.768,2.409,8.614,2027,127,52.72,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,3,2B,single,gemma2:2b,8.798,0.145,1.098,1.711,5.845,2498,89,52.01,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,3,2B,single,gemma2:2b,10.746,0.169,0.937,2.152,7.488,2392,114,52.97,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,3,2B,single,gemma2:2b,12.082,0.135,1.271,2.383,8.293,3104,125,52.46,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,3,2B,single,gemma2:2b,0.000,0.000,0.000,0.000,0.000,0,0,0.00,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,3,2B,single,gemma2:2b,8.785,0.149,0.874,1.637,6.125,2246,92,56.18,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
