ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
q001_debateC,8B,heterogeneo,DLB and PNM consensus,237.984,0.0,0.0,0.0,62238,6610,27.77,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in Ka-band satellite links?
q002_debateC,8B,heterogeneo,Both DLB and PNM,219.954,0.0,0.0,0.0,52477,6300,28.64,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink frequency planning?
q003_debateC,8B,heterogeneo,DLB and PNM,243.212,0.0,0.0,0.0,58299,7035,28.93,What trade-offs exist between the filter's compact size and integration with phased array antennas for satellite coverage optimization?
q004_debateC,8B,heterogeneo,DLB and PNM,248.702,0.0,0.0,0.0,73144,6991,28.11,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver frontends?
q005_debateC,8B,heterogeneo,Both DLB and PNM,236.234,0.0,0.0,0.0,65884,6487,27.46,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload configurations?
q006_debateC,8B,heterogeneo,DLB and PNM,256.227,0.0,0.0,0.0,82286,6593,25.73,How does the hierarchical classification framework impact satellite link budget margins when prioritizing QoS-sensitive traffic?
q007_debateC,8B,heterogeneo,DLB and PNM,243.69,0.0,0.0,0.0,75467,6213,25.5,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latency-sensitive traffic classes?
q008_debateC,8B,heterogeneo,DLB and PNM,261.025,0.0,0.0,0.0,64408,7763,29.74,How does antenna design influence the accuracy of encrypted traffic classification systems in heterogeneous satellite networks?
q009_debateC,8B,heterogeneo,DLB and PNM,241.726,0.0,0.0,0.0,78990,5952,24.62,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands from ML traffic classification?
q010_debateC,8B,heterogeneo,DLB or PNM,224.574,0.0,0.0,0.0,58167,6308,28.09,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic in multi-beam satellite systems?
q011_debateC,8B,heterogeneo,DLB and PNM,241.463,0.0,0.0,0.0,74833,6421,26.59,Does the proposed ML framework's feature extraction for encrypted flows require additional power or bandwidth margins in link budgets?
q012_debateC,8B,heterogeneo,DLB and PNM combined,287.096,0.0,0.0,0.0,82556,7826,27.26,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classification for satellite QoS management?
q013_debateC,8B,heterogeneo,DLB and PNM,260.409,0.0,0.0,0.0,63263,7492,28.77,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range and noise performance trade-offs in different satellite orbital configurations?
q014_debateC,8B,heterogeneo,DLB and PNM,274.722,0.0,0.0,0.0,73328,7895,28.74,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and portability for CMOS-based ground terminals?
q015_debateC,8B,heterogeneo,DLB or PNM,281.103,0.0,0.0,0.0,65604,8200,29.17,How do distributed satellite constellations impact orbital configuration trade-offs between coverage and inter-satellite interference mitigation?
q016_debateC,8B,heterogeneo,DLB and PNM,270.368,0.0,0.0,0.0,62185,7907,29.25,What antenna design considerations optimize ground station visibility during short service windows in LEO constellations?
q017_debateC,8B,heterogeneo,DLB and PNM,268.213,0.0,0.0,0.0,76783,7182,26.78,How are link budgets affected when prioritizing high-revenue services versus navigation safety margins in dynamic scheduling?
q018_debateC,8B,heterogeneo,DLB or PNM,236.898,0.0,0.0,0.0,62666,6525,27.54,What frequency planning challenges arise when coordinating multiple ground stations with overlapping satellite visibility windows?
q019_debateC,8B,heterogeneo,DLB,224.067,0.0,0.0,0.0,73358,5948,26.55,How do on-board storage constraints influence payload power allocation between immediate and time-tagged service prioritization?
q020_debateC,8B,heterogeneo,DLB and PNM,246.295,0.0,0.0,0.0,59862,7076,28.73,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-satellite ground station operations?
q021_debateC,8B,heterogeneo,DLB and PNM (merged),214.175,0.0,0.0,0.0,56044,5779,26.98,How does transponder allocation balance network efficiency against thermal/power constraints during peak service demand periods?
