ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,8B,homogeneo,PNM,124.551,7.638,30.961,38.583,27929,2426,64.18,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,8B,homogeneo,PNM,123.231,1.899,29.920,41.441,27391,2537,63.61,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,8B,homogeneo,PNM,112.317,1.950,30.004,32.857,26999,2018,63.90,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,8B,homogeneo,PNM,98.328,2.108,26.355,28.526,24183,1825,65.18,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,8B,homogeneo,PNM,119.477,2.084,32.425,32.411,28570,2029,68.09,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,8B,homogeneo,PNM,133.906,2.711,47.531,31.824,39325,1963,64.38,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,8B,homogeneo,PNM,173.082,2.534,51.372,44.016,42749,2642,63.16,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,8B,homogeneo,PNM,107.308,2.179,25.237,32.971,23068,2099,66.28,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,8B,homogeneo,PNM,127.868,2.210,44.436,28.495,36990,1773,64.14,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,8B,homogeneo,PNM,179.075,2.440,37.329,60.210,34087,3800,63.22,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,8B,homogeneo,PNM,95.390,2.188,25.290,27.849,23051,1787,66.06,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,8B,homogeneo,PNM,98.133,2.522,25.279,28.120,22966,1790,66.05,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,8B,homogeneo,PNM,138.179,2.239,35.036,47.095,31821,3017,65.70,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,8B,homogeneo,PNM,123.038,1.975,31.848,37.448,28726,2315,63.34,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,8B,homogeneo,PNM,133.561,1.956,32.093,43.733,29130,2663,62.75,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,8B,homogeneo,PNM,122.427,1.948,29.520,40.888,27226,2597,64.37,What antenna design considerations optimize ground station visibility during short service windows i
17,8B,homogeneo,PNM,128.141,1.930,27.366,39.958,25168,2486,64.35,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,8B,homogeneo,PNM,94.279,1.993,27.423,26.790,24462,1631,64.31,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,8B,homogeneo,PNM,89.202,1.930,23.958,26.019,21729,1628,66.72,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,8B,homogeneo,PNM,128.692,1.903,29.955,43.811,27118,2717,63.54,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,8B,homogeneo,PNM,93.815,1.929,24.746,26.807,22313,1686,66.07,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,8B,homogeneo,PNM,106.935,1.940,24.565,31.353,22405,2006,68.34,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,8B,homogeneo,PNM,112.644,1.923,27.517,36.561,25027,2279,64.25,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,8B,homogeneo,PNM,121.467,1.926,28.635,37.186,26260,2316,64.55,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,8B,homogeneo,PNM,117.592,1.960,28.904,40.010,26351,2472,63.61,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,8B,homogeneo,PNM,105.870,1.916,27.898,32.454,25133,1974,64.94,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,8B,homogeneo,PNM,127.318,1.969,33.379,38.590,29809,2395,63.51,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,8B,homogeneo,PNM,129.376,1.904,31.716,44.795,27985,2728,63.51,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
