ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
q001_debateC,2B,heterogeneo,PNM,109.031,0.0,0.0,0.0,40837,4737,43.45,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in Ka-band satellite links?
q002_debateC,2B,heterogeneo,Unknown,117.785,0.0,0.0,0.0,35445,5636,47.85,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink frequency planning?
q003_debateC,2B,heterogeneo,DLB or PNM,118.377,0.0,0.0,0.0,37500,5743,48.51,What trade-offs exist between the filter's compact size and integration with phased array antennas for satellite coverage optimization?
q004_debateC,2B,heterogeneo,Unknown,126.357,0.0,0.0,0.0,41066,6201,49.08,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver frontends?
q005_debateC,2B,heterogeneo,DLB or PNM,93.886,0.0,0.0,0.0,42590,3195,34.03,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload configurations?
q006_debateC,2B,heterogeneo,DLB or PNM,116.777,0.0,0.0,0.0,51411,4836,41.41,How does the hierarchical classification framework impact satellite link budget margins when prioritizing QoS-sensitive traffic?
q007_debateC,2B,heterogeneo,PNM,113.571,0.0,0.0,0.0,50647,4662,41.05,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latency-sensitive traffic classes?
q008_debateC,2B,heterogeneo,DLB or PNM,101.055,0.0,0.0,0.0,33689,4263,42.18,How does antenna design influence the accuracy of encrypted traffic classification systems in heterogeneous satellite networks?
q009_debateC,2B,heterogeneo,Unknown,129.49,0.0,0.0,0.0,55817,5666,43.76,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands from ML traffic classification?
q010_debateC,2B,heterogeneo,Unknown,109.273,0.0,0.0,0.0,39159,4712,43.12,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic in multi-beam satellite systems?
