ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,3,8B,heterogeneo,DLB,122.873,1.455,45.240,44.252,31.925,36850,2063,48.43,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
1,3,8B,heterogeneo,PNM,143.122,1.481,43.142,45.192,53.309,35555,2049,47.57,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,3,8B,heterogeneo,DLB,122.501,1.599,38.787,42.769,39.344,32536,1928,47.06,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
2,3,8B,heterogeneo,DLB,129.298,1.573,41.360,45.883,40.482,33920,2070,47.18,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,3,8B,heterogeneo,DLB,128.158,1.516,38.946,42.375,45.320,32140,1963,48.01,What trade-offs exist between the filter's compact size and integration with phased array antennas f
3,3,8B,heterogeneo,DLB,118.944,1.579,36.822,39.868,40.672,30583,1858,49.88,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,3,8B,heterogeneo,DLB,155.679,1.650,46.880,50.699,56.445,38190,2340,47.18,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
4,3,8B,heterogeneo,PNM,154.844,1.566,47.358,50.597,55.325,38413,2362,48.55,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,3,8B,heterogeneo,DLB,140.634,1.554,43.476,40.430,55.174,35522,1851,48.18,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
5,3,8B,heterogeneo,PNM,168.512,1.533,51.238,67.306,48.438,41175,3103,47.60,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,3,8B,heterogeneo,DLB,196.977,1.613,56.823,54.365,84.173,44779,2531,50.02,How does the hierarchical classification framework impact satellite link budget margins when priorit
6,3,8B,heterogeneo,DLB,170.228,1.516,56.507,48.462,63.744,44691,2242,47.81,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,3,8B,heterogeneo,DLB,163.481,1.520,57.989,56.816,47.158,45844,2591,47.69,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
7,3,8B,heterogeneo,PNM,160.540,1.524,52.154,42.594,64.270,41655,1924,46.87,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,3,8B,heterogeneo,DLB,123.251,1.548,37.042,39.283,45.380,31142,1757,46.70,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
8,3,8B,heterogeneo,PNM,143.632,1.518,48.152,66.565,27.397,39048,3032,46.45,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,3,8B,heterogeneo,DLB,144.584,1.545,55.391,37.519,50.129,43618,1751,48.67,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
9,3,8B,heterogeneo,PNM,147.542,1.527,56.750,40.997,48.269,44645,1890,48.26,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,3,8B,heterogeneo,DLB,157.635,1.569,47.809,55.083,53.177,38466,2530,47.52,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
10,3,8B,heterogeneo,DLB,161.410,1.727,45.268,53.580,60.836,36890,2447,47.33,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,3,8B,heterogeneo,DLB,160.435,1.652,54.790,52.747,51.247,43421,2405,47.06,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
11,3,8B,heterogeneo,DLB,173.250,1.620,59.920,65.586,46.123,47042,3010,47.90,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,3,8B,heterogeneo,PNM,216.886,1.527,55.971,67.455,91.935,44167,3143,49.07,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
