ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,2,8B,homogeneo,DLB,166.230,1.954,43.221,51.032,70.022,36774,2466,49.04,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,2,8B,homogeneo,PNM,194.784,1.992,45.886,70.631,76.277,39141,3420,48.89,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,2,8B,homogeneo,DLB,148.539,1.956,37.566,47.608,61.409,32585,2335,49.37,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,2,8B,homogeneo,PNM,169.045,1.962,44.400,56.205,66.475,37807,2704,48.83,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,2,8B,homogeneo,PNM,166.161,1.993,44.896,52.113,67.162,37432,2509,50.11,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,2,8B,homogeneo,PNM,134.211,1.956,46.594,33.633,52.029,37880,1642,50.03,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,2,8B,homogeneo,DLB,157.780,1.944,48.328,44.880,62.628,39202,2161,49.31,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,2,8B,homogeneo,DLB,182.109,1.958,41.512,58.833,79.804,35921,2830,48.88,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,2,8B,homogeneo,PNM,189.356,1.950,56.998,55.155,75.252,46039,2605,48.15,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,2,8B,homogeneo,DLB,170.810,1.932,42.857,53.505,72.512,36701,2589,49.00,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,2,8B,homogeneo,DLB,148.694,1.934,46.607,40.066,60.088,38132,1905,48.75,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,2,8B,homogeneo,PNM,190.838,1.974,53.986,59.028,75.856,44005,2806,48.00,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,2,8B,homogeneo,PNM,172.423,1.956,42.763,53.520,74.182,36442,2558,49.90,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,2,8B,homogeneo,DLB,169.132,1.926,44.285,58.821,64.102,37764,2812,48.65,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,2,8B,homogeneo,PNM,188.070,1.903,46.512,62.558,77.100,39579,3009,48.59,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,2,8B,homogeneo,DLB,129.615,1.923,36.506,39.351,51.834,31089,1951,50.63,What antenna design considerations optimize ground station visibility during short service windows i
17,2,8B,homogeneo,PNM,167.735,2.102,49.830,48.759,67.041,40660,2312,48.21,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,2,8B,homogeneo,DLB,176.706,2.115,45.365,54.772,74.456,38010,2640,48.68,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,2,8B,homogeneo,PNM,197.037,2.023,48.968,66.283,79.763,41084,3170,48.48,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,2,8B,homogeneo,PNM,147.215,1.931,38.893,46.963,59.429,33251,2290,49.24,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,2,8B,homogeneo,PNM,150.406,1.958,39.610,49.127,59.713,33471,2371,48.94,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,2,8B,homogeneo,PNM,138.578,1.944,37.855,44.055,54.724,32216,2128,49.77,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,2,8B,homogeneo,PNM,186.178,1.972,47.324,67.973,68.911,40781,3289,48.92,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,2,8B,homogeneo,DLB,190.026,1.958,44.433,57.159,86.478,37431,2767,50.48,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,2,8B,homogeneo,DLB,153.427,1.986,40.097,48.333,63.010,34010,2347,49.05,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,2,8B,homogeneo,DLB,154.625,1.939,47.737,45.180,59.772,39282,2167,48.83,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,2,8B,homogeneo,PNM,202.200,1.966,51.546,70.203,78.483,43091,3346,48.11,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,2,8B,homogeneo,DLB,164.182,1.938,47.245,48.097,66.902,38839,2308,48.71,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,2,8B,homogeneo,DLB,222.374,1.954,49.295,74.388,96.731,42255,3556,48.22,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,2,8B,homogeneo,DLB,144.130,1.963,41.118,44.712,56.333,34569,2175,49.08,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,2,8B,homogeneo,PNM,133.126,1.964,38.657,39.630,52.873,32615,1920,50.59,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,2,8B,homogeneo,DLB,209.509,1.935,51.694,78.302,77.575,43615,3723,49.90,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,2,8B,homogeneo,PNM,151.380,1.949,40.392,48.910,60.130,34367,2351,48.99,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,2,8B,homogeneo,DLB,155.069,1.925,42.514,49.829,60.801,34939,2382,50.87,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,2,8B,homogeneo,PNM,161.803,1.913,38.285,51.975,69.632,32573,2500,50.84,How can frequency planning address interference between satellite uplinks and broadband power line c
36,2,8B,homogeneo,DLB,161.360,1.910,49.438,51.433,58.576,39965,2439,49.55,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,2,8B,homogeneo,DLB,159.307,1.946,44.047,52.647,60.666,36856,2532,48.67,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,2,8B,homogeneo,PNM,119.113,2.047,31.855,36.083,49.126,27351,1755,51.82,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,2,8B,homogeneo,PNM,191.929,1.930,55.884,56.783,77.330,45508,2691,47.96,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,2,8B,homogeneo,DLB,182.567,1.938,46.809,61.304,72.517,39537,2936,48.54,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
