ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,70B,heterogeneo,PNM,2125.635,841.389,195.000,1041.151,25263,5388,5.13,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,70B,heterogeneo,PNM,2086.261,865.063,208.818,967.576,26576,5008,5.14,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,70B,heterogeneo,PNM,1761.129,834.812,191.497,700.835,24599,3635,5.17,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,70B,heterogeneo,PNM,1859.707,854.182,177.762,789.924,22702,4096,5.17,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,70B,heterogeneo,PNM,1818.468,832.789,209.450,740.493,26971,3835,5.16,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,70B,heterogeneo,PNM,2170.308,895.248,313.973,917.774,40433,4715,5.13,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,70B,heterogeneo,PNM,2019.950,888.290,304.130,790.381,38880,4020,5.11,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,70B,heterogeneo,PNM,1702.248,824.323,158.154,686.562,20136,3566,5.17,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,70B,heterogeneo,PNM,2134.464,887.288,330.745,875.784,42332,4488,5.11,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,70B,heterogeneo,PNM,2130.039,886.030,222.171,977.482,28648,5017,5.11,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,70B,heterogeneo,PNM,1536.337,813.701,171.067,526.045,21535,2721,5.16,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,70B,heterogeneo,PNM,1716.256,827.795,175.509,680.452,22302,3529,5.16,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,70B,heterogeneo,DLB,2168.096,853.924,212.667,1052.131,27090,5406,5.12,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,70B,heterogeneo,DLB,2061.508,843.634,205.130,967.417,26446,4966,5.12,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,70B,heterogeneo,PNM,1854.532,854.976,179.361,782.620,22911,4055,5.17,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,70B,heterogeneo,PNM,1998.685,848.235,188.125,918.603,23785,4763,5.16,What antenna design considerations optimize ground station visibility during short service windows i
17,70B,heterogeneo,PNM,1974.229,832.963,185.465,913.630,23751,4730,5.12,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,70B,heterogeneo,PNM,1777.111,834.553,188.287,719.775,24275,3733,5.17,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,70B,heterogeneo,PNM,1680.953,838.843,185.870,625.428,23852,3223,5.15,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,70B,heterogeneo,PNM,1794.953,797.777,181.528,778.561,23150,4033,5.16,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,70B,heterogeneo,PNM,1716.581,797.721,182.610,703.148,22968,3644,5.16,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,70B,heterogeneo,PNM,2044.591,834.032,199.866,966.450,25964,5010,5.16,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,70B,heterogeneo,PNM,2027.520,835.287,192.340,956.728,24936,4931,5.13,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,70B,heterogeneo,PNM,1881.411,828.434,195.800,819.295,25222,4241,5.12,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,70B,heterogeneo,PNM,1944.978,829.823,180.377,893.160,22714,4630,5.14,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,70B,heterogeneo,PNM,2487.635,1081.683,210.128,1143.444,27263,5904,5.12,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,70B,heterogeneo,PNM,1944.388,846.326,214.961,843.672,27552,4359,5.13,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,70B,heterogeneo,PNM,1642.027,828.220,182.640,601.613,23108,3117,5.17,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,70B,heterogeneo,PNM,1838.378,823.417,183.135,794.512,23278,4118,5.16,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,70B,heterogeneo,PNM,2034.320,869.031,261.022,864.302,33645,4387,5.11,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,70B,heterogeneo,DLB,1768.344,836.760,185.355,712.021,23697,3692,5.15,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,70B,heterogeneo,DLB,1719.655,840.402,183.863,663.583,23369,3438,5.16,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,70B,heterogeneo,PNM,1989.510,833.308,190.202,923.030,24539,4784,5.13,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,70B,heterogeneo,DLB,1790.001,834.994,173.313,746.825,22175,3872,5.17,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,70B,heterogeneo,PNM,1749.323,825.788,175.305,714.186,22271,3704,5.16,How can frequency planning address interference between satellite uplinks and broadband power line c
36,70B,heterogeneo,PNM,1895.699,839.326,191.470,824.588,24601,4257,5.14,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,70B,heterogeneo,PNM,1889.024,831.644,180.108,837.595,22844,4345,5.16,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,70B,heterogeneo,PNM,1916.739,801.818,185.661,888.749,23863,4603,5.15,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,70B,heterogeneo,PNM,1983.210,844.135,193.846,902.427,24991,4671,5.15,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,70B,heterogeneo,DLB,1897.004,844.159,204.928,809.500,26485,4187,5.15,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,70B,heterogeneo,DLB,2004.322,1021.152,206.626,738.030,26781,3809,5.11,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,70B,heterogeneo,PNM,1808.436,873.308,183.401,713.571,23627,3695,5.16,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,70B,heterogeneo,PNM,1708.269,874.470,182.596,616.887,23377,3192,5.16,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,70B,heterogeneo,PNM,1904.983,879.151,202.910,781.361,26194,4040,5.13,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,70B,heterogeneo,PNM,1679.489,854.845,187.782,604.816,24302,3133,5.16,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,70B,heterogeneo,PNM,1676.762,863.330,185.792,594.738,23821,3075,5.15,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,70B,heterogeneo,PNM,1787.601,859.053,184.163,705.588,23644,3658,5.17,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,70B,heterogeneo,PNM,1755.172,850.245,164.131,703.405,21047,3653,5.16,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,70B,heterogeneo,PNM,1712.426,873.897,199.409,605.284,25811,3134,5.16,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
