ID,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,TPS,Topic
1,2B,single,gemma2:2b,38.269,3.774,0.590,15.443,1403,233,15.09,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,2B,single,gemma2:2b,10.769,0.143,0.480,1.461,1124,114,78.02,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,2B,single,gemma2:2b,0.000,0.000,0.000,0.000,0,0,0.00,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,2B,single,gemma2:2b,10.849,0.141,0.404,1.600,1302,115,71.87,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,2B,single,gemma2:2b,14.302,0.152,0.572,1.851,1787,152,82.10,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,2B,single,gemma2:2b,14.004,0.137,1.171,3.214,3239,126,39.20,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,2B,single,gemma2:2b,0.000,0.000,0.000,0.000,0,0,0.00,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,2B,single,gemma2:2b,10.962,0.136,0.377,1.395,1155,122,87.43,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,2B,single,gemma2:2b,14.804,0.149,1.151,2.276,3165,149,65.46,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,2B,single,gemma2:2b,87.317,0.148,0.412,15.105,1167,1024,67.79,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,2B,single,gemma2:2b,13.121,0.156,0.434,1.689,1306,142,84.08,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,2B,single,gemma2:2b,9.425,0.141,0.758,1.198,2215,97,80.98,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,2B,single,gemma2:2b,18.212,0.142,0.456,2.824,1402,197,69.75,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,2B,single,gemma2:2b,13.616,0.149,0.549,1.874,1515,148,78.95,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,2B,single,gemma2:2b,12.900,0.165,0.431,1.707,1373,140,82.03,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,2B,single,gemma2:2b,15.250,0.149,0.396,2.484,1229,163,65.61,What antenna design considerations optimize ground station visibility during short service windows i
17,2B,single,gemma2:2b,11.741,0.138,0.417,1.563,1104,128,81.92,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,2B,single,gemma2:2b,12.608,0.146,0.509,1.707,1540,137,80.27,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,2B,single,gemma2:2b,13.630,0.158,0.439,2.076,1397,144,69.37,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,2B,single,gemma2:2b,15.403,0.149,0.423,2.166,1192,167,77.10,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,2B,single,gemma2:2b,10.712,0.152,0.388,1.428,1248,113,79.15,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,2B,single,gemma2:2b,10.649,0.137,0.374,1.636,1162,109,66.63,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,2B,single,gemma2:2b,13.996,0.139,0.450,1.869,1162,153,81.88,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,2B,single,gemma2:2b,0.000,0.000,0.000,0.000,0,0,0.00,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,2B,single,gemma2:2b,8.210,0.170,0.372,1.121,1257,87,77.60,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,2B,single,gemma2:2b,0.000,0.000,0.000,0.000,0,0,0.00,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,2B,single,gemma2:2b,9.033,0.138,0.530,1.146,1613,95,82.88,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,2B,single,gemma2:2b,15.141,0.136,0.428,1.983,1391,164,82.71,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,2B,single,gemma2:2b,13.454,0.141,0.479,1.776,1220,149,83.90,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,2B,single,gemma2:2b,12.854,0.146,0.885,1.790,2540,132,73.74,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,2B,single,gemma2:2b,13.111,0.136,0.441,1.804,1380,143,79.27,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,2B,single,gemma2:2b,11.327,0.165,0.787,1.516,1852,118,77.81,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,2B,single,gemma2:2b,15.708,0.135,0.357,2.263,1132,170,75.13,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,2B,single,gemma2:2b,15.388,0.148,0.395,2.353,1234,167,70.99,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,2B,single,gemma2:2b,21.975,0.146,0.532,3.128,1375,239,76.41,How can frequency planning address interference between satellite uplinks and broadband power line c
36,2B,single,gemma2:2b,16.019,0.147,0.490,2.229,1491,171,76.71,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,2B,single,gemma2:2b,12.422,0.148,0.502,1.610,1317,133,82.63,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,2B,single,gemma2:2b,14.293,0.144,0.362,1.939,1102,152,78.41,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
