ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,3,70B,homogeneo,DLB,582.628,2.039,214.781,212.557,153.248,29017,1115,5.26,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,3,70B,homogeneo,PNM,517.136,1.934,188.678,195.131,131.395,25184,1017,5.22,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,3,70B,homogeneo,PNM,494.244,1.962,182.027,182.152,128.102,24329,955,5.26,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,3,70B,homogeneo,DLB,547.556,2.032,209.968,191.966,143.591,28112,1012,5.29,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,3,70B,homogeneo,PNM,549.764,2.046,221.167,181.799,144.753,29442,948,5.22,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,3,70B,homogeneo,PNM,597.871,1.968,260.213,178.761,156.934,34515,935,5.24,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,3,70B,homogeneo,PNM,591.596,1.947,255.061,181.133,153.454,33762,950,5.26,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,3,70B,homogeneo,PNM,539.201,1.961,185.349,201.247,150.646,24999,1055,5.27,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,3,70B,homogeneo,PNM,646.180,1.941,279.442,193.697,171.096,36507,1005,5.21,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,3,70B,homogeneo,PNM,561.866,1.978,203.755,208.952,147.183,27076,1091,5.24,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,3,70B,homogeneo,PNM,560.083,1.964,246.304,165.927,145.887,32272,868,5.25,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,3,70B,homogeneo,PNM,597.258,2.017,253.910,182.526,158.809,33701,957,5.25,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,3,70B,homogeneo,PNM,577.676,1.947,207.737,210.893,157.097,27763,1107,5.27,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
