ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
q001_debateAG,8B,heterogeneo,DLB,149.692,0.0,0.0,0.0,64423,3407,22.76,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in Ka-band satellite links?
q003_debateAG,8B,heterogeneo,DLB,127.883,0.0,0.0,0.0,58488,3498,27.35,What trade-offs exist between the filter's compact size and integration with phased array antennas for satellite coverage optimization?
q004_debateAG,8B,heterogeneo,DLB,136.715,0.0,0.0,0.0,65356,3424,25.04,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver frontends?
q005_debateAG,8B,heterogeneo,DLB,150.974,0.0,0.0,0.0,69928,3791,25.11,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload configurations?
q008_debateAG,8B,heterogeneo,DLB,116.688,0.0,0.0,0.0,58641,3158,27.06,How does antenna design influence the accuracy of encrypted traffic classification systems in heterogeneous satellite networks?
q010_debateAG,8B,heterogeneo,DLB,127.926,0.0,0.0,0.0,63441,3392,26.52,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic in multi-beam satellite systems?
q012_debateAG,8B,heterogeneo,PNM,105.482,0.0,0.0,0.0,69503,2205,20.9,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classification for satellite QoS management?
q013_debateAG,8B,heterogeneo,DLB,116.406,0.0,0.0,0.0,59461,3073,26.4,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range and noise performance trade-offs in different satellite orbital configurations?
q015_debateAG,8B,heterogeneo,DLB,124.015,0.0,0.0,0.0,64363,3267,26.34,How do distributed satellite constellations impact orbital configuration trade-offs between coverage and inter-satellite interference mitigation?
q016_debateAG,8B,heterogeneo,DLB,159.578,0.0,0.0,0.0,62832,4216,26.42,What antenna design considerations optimize ground station visibility during short service windows in LEO constellations?
q020_debateAG,8B,heterogeneo,DLB,159.228,0.0,0.0,0.0,64039,4388,27.56,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-satellite ground station operations?
q021_debateAG,8B,heterogeneo,DLB,111.518,0.0,0.0,0.0,61483,2909,26.09,How does transponder allocation balance network efficiency against thermal/power constraints during peak service demand periods?
q022_debateAG,8B,heterogeneo,PNM,169.525,0.0,0.0,0.0,63933,4558,26.89,What interference mitigation techniques are viable for overlapping service transmissions across geographically dispersed ground stations?
q024_debateAG,8B,heterogeneo,PNM_Expert,116.03,0.0,0.0,0.0,58459,3091,26.64,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional methods in terms of deployment cost and scalability?
q025_debateAG,8B,heterogeneo,DLB,141.258,0.0,0.0,0.0,61783,3655,25.87,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency for broadband satellite links?
q028_debateAG,8B,heterogeneo,DLB,125.416,0.0,0.0,0.0,67167,2926,23.33,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional designs?
