ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
1,2,70B,single,llama3.3:70b,71.575,36.026,16.420,15.740,3.389,2129,80,5.08,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,2,70B,single,llama3.3:70b,37.459,0.163,14.352,18.990,3.954,1866,96,5.06,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,2,70B,single,llama3.3:70b,34.429,0.141,15.637,15.357,3.294,2007,78,5.08,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,2,70B,single,llama3.3:70b,32.032,0.155,16.409,12.782,2.686,2146,65,5.09,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,2,70B,single,llama3.3:70b,40.065,0.149,19.122,17.272,3.522,2485,87,5.04,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,2,70B,single,llama3.3:70b,38.001,0.149,20.923,14.034,2.895,2723,71,5.06,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,2,70B,single,llama3.3:70b,40.397,0.143,20.895,16.088,3.271,2729,81,5.03,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,2,70B,single,llama3.3:70b,29.738,0.151,14.110,12.902,2.574,1840,65,5.04,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,2,70B,single,llama3.3:70b,43.079,0.156,22.873,16.700,3.350,2992,81,4.85,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,2,70B,single,llama3.3:70b,35.864,0.143,15.546,16.778,3.397,1989,85,5.07,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,2,70B,single,llama3.3:70b,38.993,0.140,20.498,15.220,3.135,2662,77,5.06,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,2,70B,single,llama3.3:70b,40.919,0.164,21.263,15.891,3.602,2809,82,5.16,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,2,70B,single,llama3.3:70b,35.161,0.152,16.465,15.191,3.353,2057,78,5.13,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,2,70B,single,llama3.3:70b,37.068,0.139,16.059,17.487,3.383,2035,85,4.86,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,2,70B,single,llama3.3:70b,35.824,0.143,16.356,15.935,3.390,2065,81,5.08,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,2,70B,single,llama3.3:70b,34.381,0.144,13.568,17.119,3.550,1806,87,5.08,What antenna design considerations optimize ground station visibility during short service windows i
17,2,70B,single,llama3.3:70b,37.450,0.141,20.410,13.985,2.914,2627,71,5.08,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,2,70B,single,llama3.3:70b,32.326,0.152,16.689,12.792,2.694,2120,65,5.08,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,2,70B,single,llama3.3:70b,35.278,0.152,17.309,14.764,3.053,2319,75,5.08,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,2,70B,single,llama3.3:70b,31.493,0.165,14.754,13.754,2.819,1911,70,5.09,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,2,70B,single,llama3.3:70b,36.234,0.149,17.010,15.831,3.244,2295,80,5.05,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,2,70B,single,llama3.3:70b,34.450,0.139,17.182,14.239,2.890,2265,72,5.06,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,2,70B,single,llama3.3:70b,32.506,0.138,14.792,14.594,2.982,1958,74,5.07,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,2,70B,single,llama3.3:70b,36.994,0.163,15.660,17.534,3.637,1997,89,5.08,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,2,70B,single,llama3.3:70b,31.319,0.143,14.103,14.157,2.916,1845,72,5.09,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,2,70B,single,llama3.3:70b,35.272,0.146,17.061,15.034,3.030,2310,76,5.06,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,2,70B,single,llama3.3:70b,37.677,0.149,17.054,16.982,3.491,2232,86,5.06,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,2,70B,single,llama3.3:70b,40.762,0.154,22.482,15.225,2.901,2939,77,5.06,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,2,70B,single,llama3.3:70b,34.508,0.138,15.756,15.332,3.282,1990,79,5.15,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,2,70B,single,llama3.3:70b,34.454,0.144,16.285,14.970,3.054,2096,76,5.08,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,2,70B,single,llama3.3:70b,35.687,0.143,16.579,15.449,3.517,2111,81,5.24,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,2,70B,single,llama3.3:70b,33.773,0.153,15.719,14.609,3.292,1979,76,5.20,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,2,70B,single,llama3.3:70b,35.255,0.147,15.377,16.272,3.459,1984,82,5.04,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,2,70B,single,llama3.3:70b,36.038,0.148,17.337,15.213,3.340,2312,79,5.19,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,2,70B,single,llama3.3:70b,31.322,0.140,14.820,13.390,2.973,1922,70,5.23,How can frequency planning address interference between satellite uplinks and broadband power line c
36,2,70B,single,llama3.3:70b,39.897,0.156,20.091,16.137,3.513,2559,81,5.02,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,2,70B,single,llama3.3:70b,35.720,0.151,16.820,15.286,3.463,2196,80,5.23,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,2,70B,single,llama3.3:70b,28.849,0.150,13.294,12.551,2.854,1779,66,5.26,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,2,70B,single,llama3.3:70b,42.406,0.153,21.050,17.368,3.835,2809,90,5.18,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,2,70B,single,llama3.3:70b,33.581,0.145,16.354,13.930,3.153,2037,73,5.24,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,2,70B,single,llama3.3:70b,35.881,0.148,16.299,15.921,3.512,2098,83,5.21,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,2,70B,single,llama3.3:70b,31.130,0.139,14.437,13.540,3.014,1875,71,5.24,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,2,70B,single,llama3.3:70b,35.689,0.147,17.262,14.906,3.374,2329,78,5.23,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,2,70B,single,llama3.3:70b,33.726,0.145,16.674,13.779,3.129,2144,72,5.23,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,2,70B,single,llama3.3:70b,31.261,0.158,13.504,14.415,3.185,1826,75,5.20,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,2,70B,single,llama3.3:70b,34.441,0.148,14.649,16.005,3.639,1905,84,5.25,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,2,70B,single,llama3.3:70b,32.366,0.143,16.569,12.731,2.922,2182,67,5.26,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,2,70B,single,llama3.3:70b,29.158,0.146,12.911,13.414,2.686,1620,69,5.14,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,2,70B,single,llama3.3:70b,38.710,0.137,14.130,20.311,4.133,1897,104,5.12,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,2,70B,single,llama3.3:70b,32.695,0.147,13.153,16.140,3.255,1731,83,5.14,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
