ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,1,8B,heterogeneo,PNM,134.905,18.870,44.316,49.087,22.632,36939,2419,50.54,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,1,8B,heterogeneo,PNM,115.927,1.385,41.960,50.159,22.419,35104,2446,50.01,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,1,8B,heterogeneo,DLB,119.164,1.416,42.732,52.129,22.885,35455,2544,49.50,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,1,8B,heterogeneo,DLB,97.329,1.476,41.534,35.722,18.596,34292,1782,51.71,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,1,8B,heterogeneo,DLB,101.395,1.432,44.011,37.605,18.350,36072,1777,51.30,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,1,8B,heterogeneo,PNM,119.526,1.391,53.184,43.704,21.246,42263,2151,52.25,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,1,8B,heterogeneo,DLB,107.883,1.341,51.607,36.989,17.946,41151,1809,51.67,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,1,8B,heterogeneo,PNM,128.585,1.380,43.609,56.155,27.438,36289,2814,51.49,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,1,8B,heterogeneo,PNM,153.495,1.362,64.165,60.784,27.186,50708,2958,50.38,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,1,8B,heterogeneo,PNM,99.152,1.394,40.147,37.387,20.224,33237,1856,51.99,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,1,8B,heterogeneo,DLB,311.639,57.197,61.708,172.515,20.219,41540,1977,32.52,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,1,8B,heterogeneo,DLB,274.541,1.494,67.007,184.208,21.834,44575,2337,32.17,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,1,8B,heterogeneo,PNM,368.448,1.392,63.360,272.848,30.846,41497,3229,32.40,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,1,8B,heterogeneo,PNM,294.127,1.381,60.466,208.294,23.986,35859,2352,32.22,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,1,8B,heterogeneo,DLB,331.793,1.445,59.108,245.298,25.940,39365,2771,32.44,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,1,8B,heterogeneo,PNM,291.825,1.381,52.716,216.854,20.873,35566,2240,32.66,What antenna design considerations optimize ground station visibility during short service windows i
17,1,8B,heterogeneo,PNM,265.921,1.404,65.711,176.059,22.745,43229,2288,33.11,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,1,8B,heterogeneo,PNM,313.008,1.387,61.259,225.591,24.773,40416,2675,32.25,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,1,8B,heterogeneo,DLB,260.207,1.430,55.847,182.473,20.457,36884,2043,33.43,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,1,8B,heterogeneo,DLB,296.161,1.398,56.041,213.953,24.771,37642,2807,31.82,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,1,8B,heterogeneo,DLB,256.183,1.467,51.053,182.778,20.888,33760,2010,32.94,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,1,8B,heterogeneo,DLB,302.066,1.387,60.191,218.013,22.474,35857,2437,32.94,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,1,8B,heterogeneo,PNM,268.617,1.420,49.606,199.223,18.364,33582,2004,32.56,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,1,8B,heterogeneo,DLB,232.488,1.474,48.754,162.480,19.781,33116,1831,32.87,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,1,8B,heterogeneo,PNM,215.066,1.410,48.891,146.609,18.155,32747,1905,33.01,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
