ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
1,2,8B,single,llama3.1:8b,19.186,6.542,2.575,4.016,6.053,2129,146,36.36,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,2,8B,single,llama3.1:8b,12.029,0.143,2.365,3.712,5.809,1866,139,37.45,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,2,8B,single,llama3.1:8b,11.126,0.148,2.373,3.334,5.271,2007,126,37.79,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,2,8B,single,llama3.1:8b,12.519,0.145,2.580,3.954,5.839,2146,144,36.42,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,2,8B,single,llama3.1:8b,11.980,0.146,3.122,3.593,5.118,2485,129,35.90,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,2,8B,single,llama3.1:8b,11.207,0.155,3.365,3.064,4.624,2723,114,37.21,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,2,8B,single,llama3.1:8b,10.585,0.142,3.374,2.272,4.797,2729,107,47.10,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,2,8B,single,llama3.1:8b,11.317,0.138,2.377,3.328,5.473,1840,131,39.36,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,2,8B,single,llama3.1:8b,14.248,0.141,3.743,3.549,6.814,2992,155,43.67,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,2,8B,single,llama3.1:8b,13.998,0.144,2.376,4.013,7.465,1989,173,43.11,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,2,8B,single,llama3.1:8b,11.751,0.167,3.413,2.993,5.178,2662,122,40.77,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,2,8B,single,llama3.1:8b,14.146,0.131,3.526,3.732,6.758,2809,158,42.34,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,2,8B,single,llama3.1:8b,14.003,0.138,2.465,4.060,7.340,2057,172,42.36,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,2,8B,single,llama3.1:8b,10.537,0.142,2.558,3.033,4.805,2035,118,38.91,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,2,8B,single,llama3.1:8b,11.647,0.155,2.482,3.056,5.953,2065,136,44.50,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,2,8B,single,llama3.1:8b,13.127,0.146,2.155,3.693,7.132,1806,163,44.13,What antenna design considerations optimize ground station visibility during short service windows i
17,2,8B,single,llama3.1:8b,14.912,0.133,3.404,4.132,7.243,2627,170,41.15,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,2,8B,single,llama3.1:8b,9.743,0.136,2.551,2.917,4.140,2120,106,36.34,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,2,8B,single,llama3.1:8b,10.820,0.139,2.842,2.580,5.258,2319,119,46.12,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,2,8B,single,llama3.1:8b,12.433,0.138,2.416,3.467,6.412,1911,149,42.98,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,2,8B,single,llama3.1:8b,13.598,0.150,2.791,3.820,6.836,2295,160,41.88,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,2,8B,single,llama3.1:8b,9.884,0.155,2.740,2.289,4.700,2265,106,46.31,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,2,8B,single,llama3.1:8b,12.640,0.145,2.469,3.452,6.574,1958,152,44.03,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,2,8B,single,llama3.1:8b,13.149,0.154,2.359,3.775,6.861,1997,160,42.39,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,2,8B,single,llama3.1:8b,13.296,0.144,2.193,3.607,7.352,1845,167,46.30,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,2,8B,single,llama3.1:8b,13.466,0.145,2.930,3.692,6.698,2310,157,42.52,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,2,8B,single,llama3.1:8b,12.583,0.143,2.698,3.369,6.372,2232,147,43.63,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,2,8B,single,llama3.1:8b,10.962,0.154,3.675,2.612,4.521,2939,107,40.97,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,2,8B,single,llama3.1:8b,10.814,0.135,2.488,2.986,5.205,1990,123,41.19,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,2,8B,single,llama3.1:8b,12.127,0.139,2.511,3.158,6.320,2096,144,45.60,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,2,8B,single,llama3.1:8b,9.670,0.143,2.601,2.805,4.120,2111,108,38.50,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,2,8B,single,llama3.1:8b,13.308,0.140,2.365,4.283,6.520,1979,168,39.23,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,2,8B,single,llama3.1:8b,11.000,0.136,2.362,3.568,4.934,1984,132,36.99,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,2,8B,single,llama3.1:8b,11.621,0.136,3.005,3.506,4.975,2312,132,37.65,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,2,8B,single,llama3.1:8b,9.973,0.134,2.299,2.913,4.626,1922,118,40.51,How can frequency planning address interference between satellite uplinks and broadband power line c
36,2,8B,single,llama3.1:8b,12.791,0.143,3.139,3.777,5.732,2559,147,38.92,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,2,8B,single,llama3.1:8b,10.812,0.140,2.797,3.120,4.755,2196,122,39.10,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,2,8B,single,llama3.1:8b,10.184,0.144,2.127,3.071,4.843,1779,123,40.06,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,2,8B,single,llama3.1:8b,14.505,0.147,3.503,4.274,6.580,2809,167,39.07,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,2,8B,single,llama3.1:8b,13.831,0.134,2.606,4.355,6.736,2037,173,39.72,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,2,8B,single,llama3.1:8b,11.387,0.146,2.519,3.465,5.256,2098,136,39.24,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,2,8B,single,llama3.1:8b,10.448,0.142,2.230,3.098,4.977,1875,126,40.67,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,2,8B,single,llama3.1:8b,11.516,0.150,3.045,3.278,5.043,2329,129,39.35,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,2,8B,single,llama3.1:8b,16.639,0.149,2.589,5.598,8.303,2144,217,38.76,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,2,8B,single,llama3.1:8b,7.350,0.133,2.165,2.165,2.887,1826,79,36.49,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,2,8B,single,llama3.1:8b,11.672,0.153,2.467,3.469,5.583,1905,141,40.64,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,2,8B,single,llama3.1:8b,12.465,0.142,2.640,3.592,6.091,2182,150,41.75,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,2,8B,single,llama3.1:8b,10.737,0.151,1.904,3.403,5.280,1620,136,39.97,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,2,8B,single,llama3.1:8b,10.890,0.133,2.341,3.478,4.938,1897,131,37.66,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,2,8B,single,llama3.1:8b,11.349,0.143,2.040,3.515,5.652,1731,143,40.68,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
