ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,2,70B,heterogeneo,PNM,1965.083,842.551,259.986,819.980,42.567,33263,4158,5.07,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,2,70B,heterogeneo,PNM,1814.553,873.382,228.657,676.614,35.900,29468,3487,5.13,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,2,70B,heterogeneo,DLB,2024.123,864.138,236.276,878.586,45.124,30458,4536,5.13,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,2,70B,heterogeneo,DLB,1874.745,876.569,254.253,706.543,37.381,32732,3634,5.12,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,2,70B,heterogeneo,PNM,1768.765,879.150,254.981,602.668,31.964,32501,3061,5.12,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,2,70B,heterogeneo,PNM,1911.461,899.717,298.386,675.010,38.346,37925,3470,5.13,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,2,70B,heterogeneo,DLB,1956.298,902.636,307.879,708.170,37.614,39393,3628,5.10,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,2,70B,heterogeneo,PNM,1718.835,846.313,221.095,618.807,32.621,28274,3195,5.13,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,2,70B,heterogeneo,DLB,2048.439,896.606,327.341,784.780,39.712,41872,3997,5.08,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,2,70B,heterogeneo,DLB,1849.240,891.536,249.221,672.395,36.089,31932,3452,5.12,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,2,70B,heterogeneo,PNM,1841.430,882.912,287.926,636.467,34.127,36761,3268,5.11,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,2,70B,heterogeneo,DLB,1942.179,891.412,297.742,714.500,38.528,38269,3648,5.11,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,2,70B,heterogeneo,DLB,1930.856,864.535,255.733,768.279,42.307,33080,3960,5.13,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,2,70B,heterogeneo,PNM,2017.060,876.160,254.987,841.970,43.939,32540,4323,5.09,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,2,70B,heterogeneo,PNM,1883.753,862.425,235.356,746.241,39.734,30168,3847,5.13,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,2,70B,heterogeneo,DLB,2078.720,850.825,234.265,945.362,48.267,30201,4879,5.14,What antenna design considerations optimize ground station visibility during short service windows i
17,2,70B,heterogeneo,DLB,2036.135,890.027,301.957,803.198,40.954,38651,4101,5.09,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,2,70B,heterogeneo,DLB,1882.171,870.377,261.881,712.593,37.318,33621,3676,5.14,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,2,70B,heterogeneo,DLB,1813.220,870.864,255.079,652.692,34.583,32683,3347,5.12,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,2,70B,heterogeneo,DLB,1777.104,858.049,236.640,648.154,34.261,30393,3345,5.13,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,2,70B,heterogeneo,PNM,1743.376,852.400,226.712,630.323,33.943,29003,3257,5.15,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,2,70B,heterogeneo,DLB,1776.333,869.700,238.681,634.220,33.736,30804,3269,5.14,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,2,70B,heterogeneo,PNM,1658.867,854.522,230.309,544.359,29.677,29611,2807,5.13,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,2,70B,heterogeneo,DLB,1827.198,860.486,239.199,690.801,36.712,30871,3541,5.14,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,2,70B,heterogeneo,DLB,1765.815,853.661,231.357,645.996,34.797,29825,3335,5.14,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,2,70B,heterogeneo,PNM,2076.663,877.159,283.748,870.141,45.615,36404,4475,5.11,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,2,70B,heterogeneo,DLB,1890.439,874.561,268.547,707.750,39.580,34451,3639,5.11,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,2,70B,heterogeneo,PNM,1931.501,869.910,271.145,750.621,39.827,34722,3865,5.13,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,2,70B,heterogeneo,PNM,1755.245,854.832,225.311,640.382,34.718,28907,3308,5.15,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,2,70B,heterogeneo,DLB,1685.270,863.162,244.239,548.165,29.703,31253,2822,5.12,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,2,70B,heterogeneo,DLB,1832.532,873.545,242.631,680.043,36.311,30809,3481,5.10,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,2,70B,heterogeneo,PNM,1650.134,879.407,222.415,520.475,27.834,28440,2686,5.15,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,2,70B,heterogeneo,PNM,1864.487,866.621,234.652,725.319,37.895,30279,3742,5.13,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,2,70B,heterogeneo,DLB,1777.320,905.494,258.300,582.502,31.024,32922,2967,5.10,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,2,70B,heterogeneo,PNM,1907.649,881.212,234.529,753.103,38.803,30120,3885,5.12,How can frequency planning address interference between satellite uplinks and broadband power line c
36,2,70B,heterogeneo,DLB,2119.893,920.214,316.780,839.339,43.558,40731,4298,5.09,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,2,70B,heterogeneo,DLB,2032.203,899.748,262.780,826.571,43.105,33890,4246,5.10,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,2,70B,heterogeneo,DLB,1941.324,878.126,230.919,792.179,40.100,29649,4077,5.12,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,2,70B,heterogeneo,DLB,2052.549,921.766,318.699,772.051,40.035,40979,3935,5.08,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,2,70B,heterogeneo,PNM,1938.359,913.398,245.328,741.078,38.558,31140,3784,5.09,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,2,70B,heterogeneo,DLB,1957.421,881.361,268.632,768.343,39.087,34526,3942,5.07,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,2,70B,heterogeneo,DLB,1780.577,866.010,231.186,649.811,33.575,29739,3346,5.11,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,2,70B,heterogeneo,DLB,1766.666,876.364,231.550,625.184,33.569,29818,3222,5.12,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,2,70B,heterogeneo,DLB,1868.671,870.409,236.377,724.186,37.699,30357,3730,5.12,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,2,70B,heterogeneo,DLB,1722.639,864.420,222.737,604.070,31.411,28627,3120,5.15,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
